rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,avg_score,matches,episode,act,placement
11,Jett,1.08,17.3,16.0,3.4,0.492,0.118,238,989417,e8,act2,diamond1
12,Chamber,1.1,16.5,15.0,3.0,0.492,0.053,221,445862,e8,act2,diamond1
13,Astra,1.02,15.1,14.8,6.5,0.491,0.012,205,100678,e8,act2,diamond1
14,Fade,0.95,14.3,15.0,6.4,0.491,0.017,196,138963,e8,act2,diamond1
15,Raze,1.03,16.6,16.1,4.4,0.49,0.073,235,609524,e8,act2,diamond1
16,Skye,0.94,14.3,15.1,7.2,0.489,0.037,196,313582,e8,act2,diamond1
17,Killjoy,1.0,14.5,14.5,3.4,0.488,0.038,198,321115,e8,act2,diamond1
18,Omen,0.98,14.8,15.1,7.0,0.485,0.099,202,832246,e8,act2,diamond1
19,Breach,0.93,14.3,15.3,6.8,0.48,0.021,197,172860,e8,act2,diamond1
20,Yoru,1.02,16.0,15.8,4.2,0.472,0.017,220,140010,e8,act2,diamond1
21,Neon,0.97,15.9,16.4,4.2,0.469,0.009,222,74428,e8,act2,diamond1
22,Harbor,0.92,13.9,15.2,5.7,0.457,0.006,191,48539,e8,act2,diamond1
23,Iso,1.01,16.4,16.2,4.0,0.454,0.009,228,71447,e8,act2,diamond1
24,KAY/O,0.91,14.1,15.6,8.8,0.449,0.024,200,205701,e8,act2,diamond1
1,Clove,0.98,17.2,17.6,6.9,0.524,0.001,238,6170,e8,act2,platinum3
2,Phoenix,1.11,17.2,15.5,4.5,0.509,0.028,240,264038,e8,act2,platinum3
3,Brimstone,0.97,14.5,14.9,8.6,0.507,0.034,205,321734,e8,act2,platinum3
4,Sage,0.93,13.8,14.9,6.9,0.506,0.05,192,471668,e8,act2,platinum3
5,Reyna,1.14,17.8,15.6,4.2,0.503,0.107,245,1007785,e8,act2,platinum3
6,Gekko,0.93,14.0,14.9,5.0,0.5,0.049,190,463724,e8,act2,platinum3
7,Sova,0.99,14.5,14.6,5.4,0.5,0.058,201,545779,e8,act2,platinum3
8,Viper,1.01,14.8,14.7,5.1,0.499,0.05,204,472924,e8,act2,platinum3
9,Deadlock,1.01,15.1,14.9,4.2,0.499,0.01,204,95884,e8,act2,platinum3
10,Cypher,1.01,14.6,14.5,4.7,0.499,0.083,198,777133,e8,act2,platinum3
11,Jett,1.1,17.4,15.9,3.5,0.495,0.115,240,1078475,e8,act2,platinum3
12,Astra,1.04,15.2,14.7,6.3,0.495,0.012,207,110709,e8,act2,platinum3
13,Killjoy,1.0,14.5,14.4,3.5,0.494,0.038,199,356402,e8,act2,platinum3
14,Chamber,1.11,16.6,14.9,3.1,0.493,0.052,223,488459,e8,act2,platinum3
15,Raze,1.04,16.7,16.0,4.4,0.492,0.072,237,674847,e8,act2,platinum3
16,Skye,0.95,14.3,15.1,7.1,0.492,0.037,198,346838,e8,act2,platinum3
17,Fade,0.95,14.3,15.0,6.3,0.491,0.017,197,158358,e8,act2,platinum3
18,Omen,0.99,14.9,15.1,6.8,0.489,0.098,204,922501,e8,act2,platinum3
19,Breach,0.94,14.4,15.3,6.7,0.481,0.021,199,194888,e8,act2,platinum3
20,Yoru,1.03,16.1,15.7,4.2,0.474,0.017,222,158696,e8,act2,platinum3
21,Neon,0.98,16.1,16.4,4.2,0.472,0.01,225,91998,e8,act2,platinum3
22,Harbor,0.92,14.0,15.2,5.7,0.46,0.006,192,57008,e8,act2,platinum3
23,Iso,1.02,16.5,16.1,4.1,0.457,0.009,230,88629,e8,act2,platinum3
24,KAY/O,0.91,14.2,15.5,8.7,0.455,0.025,201,230898,e8,act2,platinum3
1,Clove,0.97,16.9,17.5,6.7,0.517,0.001,236,6750,e8,act2,platinum2
2,Phoenix,1.11,17.1,15.4,4.5,0.507,0.029,239,306953,e8,act2,platinum2
3,Brimstone,0.97,14.4,14.9,8.4,0.505,0.035,204,368624,e8,act2,platinum2
4,Sage,0.92,13.7,14.9,6.9,0.502,0.055,190,572708,e8,act2,platinum2
5,Reyna,1.14,17.8,15.6,4.2,0.502,0.108,245,1137040,e8,act2,platinum2
6,Gekko,0.93,13.9,14.9,5.0,0.5,0.05,190,520286,e8,act2,platinum2
7,Viper,1.0,14.7,14.7,5.1,0.498,0.049,203,514901,e8,act2,platinum2
8,Sova,0.99,14.4,14.6,5.3,0.497,0.056,201,585632,e8,act2,platinum2
9,Cypher,1.0,14.5,14.5,4.7,0.497,0.082,197,858905,e8,act2,platinum2
10,Deadlock,1.0,14.9,14.9,4.2,0.495,0.011,203,113659,e8,act2,platinum2
11,Jett,1.09,17.4,15.9,3.5,0.495,0.11,240,1150464,e8,act2,platinum2
12,Astra,1.03,15.2,14.7,6.2,0.495,0.012,208,120926,e8,act2,platinum2
13,Chamber,1.11,16.5,14.9,3.1,0.493,0.051,223,530696,e8,act2,platinum2
14,Killjoy,1.0,14.4,14.4,3.5,0.492,0.038,198,398768,e8,act2,platinum2
15,Raze,1.04,16.6,16.0,4.4,0.492,0.071,236,741576,e8,act2,platinum2
16,Fade,0.95,14.2,15.0,6.3,0.489,0.017,197,182239,e8,act2,platinum2
17,Skye,0.94,14.2,15.1,7.1,0.488,0.037,197,392353,e8,act2,platinum2
18,Omen,0.98,14.9,15.1,6.6,0.488,0.098,204,1031829,e8,act2,platinum2
19,Breach,0.93,14.3,15.3,6.6,0.482,0.021,199,223296,e8,act2,platinum2
20,Neon,0.98,15.9,16.3,4.1,0.472,0.011,224,114022,e8,act2,platinum2
21,Yoru,1.02,16.0,15.7,4.2,0.471,0.017,221,182771,e8,act2,platinum2
